PERIODE,CODI_OHB,CODI,NOM,ind_value
2016,08019301_000,1,Ciutat Vella,13.9
2016,08019302_000,2,Eixample,12.39
2016,08019303_000,3,Sants-Montjuïc,11.66
2016,08019304_000,4,Les Corts,13.17
2016,08019305_000,5,Sarrià-Sant Gervasi,14.31
2016,08019306_000,6,Gràcia,12.95
2016,08019307_000,7,Horta-Guinardó,10.73
2016,08019308_000,8,Nou Barris,9.65
2016,08019309_000,9,Sant Andreu,10.39
2016,08019310_000,10,Sant Martí,11.74
2015,08019301_000,1,Ciutat Vella,12.45
2015,08019302_000,2,Eixample,11.18
2015,08019303_000,3,Sants-Montjuïc,10.66
2015,08019304_000,4,Les Corts,11.97
2015,08019305_000,5,Sarrià-Sant Gervasi,12.96
2015,08019306_000,6,Gràcia,11.82
2015,08019307_000,7,Horta-Guinardó,9.92
2015,08019308_000,8,Nou Barris,8.87
2015,08019309_000,9,Sant Andreu,9.61
2015,08019310_000,10,Sant Martí,10.64
2014,08019301_000,1,Ciutat Vella,11.38
2014,08019302_000,2,Eixample,10.28
2014,08019303_000,3,Sants-Montjuïc,9.89
2014,08019304_000,4,Les Corts,11.01
2014,08019305_000,5,Sarrià-Sant Gervasi,11.86
2014,08019306_000,6,Gràcia,10.77
2014,08019307_000,7,Horta-Guinardó,9.03
2014,08019308_000,8,Nou Barris,8.4
2014,08019309_000,9,Sant Andreu,8.86
2014,08019310_000,10,Sant Martí,9.75
2013,08019301_000,1,Ciutat Vella,11.38
2013,08019302_000,2,Eixample,10.24
2013,08019303_000,3,Sants-Montjuïc,10.1
2013,08019304_000,4,Les Corts,11.18
2013,08019305_000,5,Sarrià-Sant Gervasi,11.72
2013,08019306_000,6,Gràcia,10.95
2013,08019307_000,7,Horta-Guinardó,9.32
2013,08019308_000,8,Nou Barris,8.75
2013,08019309_000,9,Sant Andreu,9.21
2013,08019310_000,10,Sant Martí,9.87
2012,08019301_000,1,Ciutat Vella,11.66
2012,08019302_000,2,Eixample,10.75
2012,08019303_000,3,Sants-Montjuïc,10.76
2012,08019304_000,4,Les Corts,11.62
2012,08019305_000,5,Sarrià-Sant Gervasi,12.27
2012,08019306_000,6,Gràcia,11.39
2012,08019307_000,7,Horta-Guinardó,10.1
2012,08019308_000,8,Nou Barris,9.48
2012,08019309_000,9,Sant Andreu,9.84
2012,08019310_000,10,Sant Martí,10.48
2011,08019301_000,1,Ciutat Vella,12.05
2011,08019302_000,2,Eixample,11.19
2011,08019303_000,3,Sants-Montjuïc,11.3
2011,08019304_000,4,Les Corts,12.12
2011,08019305_000,5,Sarrià-Sant Gervasi,12.79
2011,08019306_000,6,Gràcia,12.03
2011,08019307_000,7,Horta-Guinardó,10.57
2011,08019308_000,8,Nou Barris,10.33
2011,08019309_000,9,Sant Andreu,10.45
2011,08019310_000,10,Sant Martí,10.9
2010,08019301_000,1,Ciutat Vella,12.07
2010,08019302_000,2,Eixample,11.34
2010,08019303_000,3,Sants-Montjuïc,11.55
2010,08019304_000,4,Les Corts,12.31
2010,08019305_000,5,Sarrià-Sant Gervasi,12.81
2010,08019306_000,6,Gràcia,12.57
2010,08019307_000,7,Horta-Guinardó,10.8
2010,08019308_000,8,Nou Barris,10.74
2010,08019309_000,9,Sant Andreu,10.65
2010,08019310_000,10,Sant Martí,11.23
2009,08019301_000,1,Ciutat Vella,12.42
2009,08019302_000,2,Eixample,11.64
2009,08019303_000,3,Sants-Montjuïc,11.91
2009,08019304_000,4,Les Corts,12.91
2009,08019305_000,5,Sarrià-Sant Gervasi,12.85
2009,08019306_000,6,Gràcia,12.81
2009,08019307_000,7,Horta-Guinardó,11.39
2009,08019308_000,8,Nou Barris,11.17
2009,08019309_000,9,Sant Andreu,11.14
2009,08019310_000,10,Sant Martí,11.59
2008,08019301_000,1,Ciutat Vella,12.57
2008,08019302_000,2,Eixample,11.89
2008,08019303_000,3,Sants-Montjuïc,12.22
2008,08019304_000,4,Les Corts,13.38
2008,08019305_000,5,Sarrià-Sant Gervasi,13.29
2008,08019306_000,6,Gràcia,13.02
2008,08019307_000,7,Horta-Guinardó,12.04
2008,08019308_000,8,Nou Barris,11.48
2008,08019309_000,9,Sant Andreu,11.45
2008,08019310_000,10,Sant Martí,11.84
2007,08019301_000,1,Ciutat Vella,11.6
2007,08019302_000,2,Eixample,11.26
2007,08019303_000,3,Sants-Montjuïc,11.28
2007,08019304_000,4,Les Corts,13.01
2007,08019305_000,5,Sarrià-Sant Gervasi,12.71
2007,08019306_000,6,Gràcia,12.45
2007,08019307_000,7,Horta-Guinardó,11.08
2007,08019308_000,8,Nou Barris,10.83
2007,08019309_000,9,Sant Andreu,10.72
2007,08019310_000,10,Sant Martí,11.21
2006,08019301_000,1,Ciutat Vella,10.69
2006,08019302_000,2,Eixample,10.26
2006,08019303_000,3,Sants-Montjuïc,10.49
2006,08019304_000,4,Les Corts,11.85
2006,08019305_000,5,Sarrià-Sant Gervasi,11.63
2006,08019306_000,6,Gràcia,11.26
2006,08019307_000,7,Horta-Guinardó,10.18
2006,08019308_000,8,Nou Barris,9.94
2006,08019309_000,9,Sant Andreu,9.57
2006,08019310_000,10,Sant Martí,10.35
2005,08019301_000,1,Ciutat Vella,9.76
2005,08019302_000,2,Eixample,9.49
2005,08019303_000,3,Sants-Montjuïc,9.51
2005,08019304_000,4,Les Corts,10.78
2005,08019305_000,5,Sarrià-Sant Gervasi,10.85
2005,08019306_000,6,Gràcia,10.18
2005,08019307_000,7,Horta-Guinardó,9.18
