PERIODE,CODI_OHB,CODI,NOM,ind_value
2017_1trim,08019301_001,1,el Raval,96.86
2017_1trim,08019301_002,2,el Barri Gòtic,261.24
2017_1trim,08019301_003,3,la Barceloneta,87.54
2017_1trim,08019301_004,4,"Sant Pere, Santa Caterina i la Ribera",53.84
2017_1trim,08019302_005,5,el Fort Pienc,19.81
2017_1trim,08019302_006,6,la Sagrada Família,6.16
2017_1trim,08019302_007,7,la Dreta de l'Eixample,156.52
2017_1trim,08019302_008,8,l'Antiga Esquerra de l'Eixample,52.35
2017_1trim,08019302_009,9,la Nova Esquerra de l'Eixample,18.54
2017_1trim,08019302_010,10,Sant Antoni,20.17
2017_1trim,08019303_011,11,el Poble Sec,32.26
2017_1trim,08019303_012,12,la Marina del Prat Vermell,86.61
2017_1trim,08019303_013,13,la Marina de Port,NaN
2017_1trim,08019303_014,14,la Font de la Guatlla,21.74
2017_1trim,08019303_015,15,Hostafrancs,78.17
2017_1trim,08019303_016,16,la Bordeta,0.92
2017_1trim,08019303_017,17,Sants - Badal,NaN
2017_1trim,08019303_018,18,Sants,21.21
2017_1trim,08019304_019,19,les Corts,34.46
2017_1trim,08019304_020,20,la Maternitat i Sant Ramon,57.7
2017_1trim,08019304_021,21,Pedralbes,15.26
2017_1trim,08019305_022,22,"Vallvidrera, el Tibidabo i les Planes",15.11
2017_1trim,08019305_023,23,Sarrià,7.14
2017_1trim,08019305_024,24,les Tres Torres,8.2
2017_1trim,08019305_025,25,Sant Gervasi - la Bonanova,11.14
2017_1trim,08019305_026,26,Sant Gervasi - Galvany,21.17
2017_1trim,08019305_027,27,el Putxet i el Farró,5.75
2017_1trim,08019306_028,28,Vallcarca i els Penitents,3.85
2017_1trim,08019306_029,29,el Coll,21.24
2017_1trim,08019306_030,30,la Salut,2.13
2017_1trim,08019306_031,31,la Vila de Gràcia,5.73
2017_1trim,08019306_032,32,el Camp d'en Grassot i Gràcia Nova,1.11
2017_1trim,08019307_033,33,el Baix Guinardó,7.91
2017_1trim,08019307_034,34,Can Baró,NaN
2017_1trim,08019307_035,35,el Guinardó,2.93
2017_1trim,08019307_036,36,la Font d'en Fargues,3.62
2017_1trim,08019307_037,37,el Carmel,NaN
2017_1trim,08019307_038,38,la Teixonera,NaN
2017_1trim,08019307_039,39,Sant Genís dels Agudells,NaN
2017_1trim,08019307_040,40,Montbau,NaN
2017_1trim,08019307_041,41,la Vall d'Hebron,27.44
2017_1trim,08019307_042,42,la Clota,NaN
2017_1trim,08019307_043,43,Horta,0.94
2017_1trim,08019308_044,44,Vilapicina i la Torre Llobeta,0.39
2017_1trim,08019308_045,45,Porta,6.89
2017_1trim,08019308_046,46,el Turó de la Peira,NaN
2017_1trim,08019308_047,47,Can Peguera,NaN
2017_1trim,08019308_048,48,la Guineueta,NaN
2017_1trim,08019308_049,49,Canyelles,NaN
2017_1trim,08019308_050,50,les Roquetes,NaN
2017_1trim,08019308_051,51,Verdun,NaN
2017_1trim,08019308_052,52,la Prosperitat,NaN
2017_1trim,08019308_053,53,la Trinitat Nova,NaN
2017_1trim,08019308_054,54,Torre Baró,NaN
2017_1trim,08019308_055,55,Ciutat Meridiana,NaN
2017_1trim,08019308_056,56,Vallbona,NaN
2017_1trim,08019309_057,57,la Trinitat Vella,NaN
2017_1trim,08019309_058,58,Baró de Viver,NaN
2017_1trim,08019309_059,59,el Bon Pastor,7.31
2017_1trim,08019309_060,60,Sant Andreu,NaN
2017_1trim,08019309_061,61,la Sagrera,0.9
2017_1trim,08019309_062,62,el Congrés i els Indians,NaN
2017_1trim,08019309_063,63,Navas,NaN
2017_1trim,08019310_064,64,el Camp de l'Arpa del Clot,8.42
2017_1trim,08019310_065,65,el Clot,7.62
2017_1trim,08019310_066,66,el Parc i la Llacuna del Poblenou,89.43
2017_1trim,08019310_067,67,la Vila Olímpica del Poblenou,44.46
2017_1trim,08019310_068,68,el Poblenou,36.32
2017_1trim,08019310_069,69,Diagonal Mar i el Front Marítim del Poblenou,161.08
2017_1trim,08019310_070,70,el Besòs i el Maresme,11.52
2017_1trim,08019310_071,71,Provençals del Poblenou,8.74
2017_1trim,08019310_072,72,Sant Martí de Provençals,NaN
2017_1trim,08019310_073,73,la Verneda i la Pau,NaN
